iter	MultiClass
161	0.4496802552
162	0.4495558696
163	0.4494182005
164	0.449286515
165	0.4491570022
166	0.44900721
167	0.4488538924
168	0.4487454389
169	0.4486799053
170	0.4485664365
171	0.4484451016
172	0.4483201084
173	0.4481842593
174	0.4480975303
175	0.4479492891
176	0.4478573076
177	0.4477256106
178	0.4475774925
179	0.4474939726
180	0.4474594587
181	0.4473788929
182	0.447285084
183	0.4472001103
184	0.4471189323
185	0.4470691606
186	0.446995945
187	0.4469294337
188	0.446802081
189	0.4466843434
190	0.4465821167
191	0.4465079878
192	0.4464062929
193	0.4463220634
194	0.4462542971
195	0.446190781
196	0.4461326903
197	0.4460017567
198	0.4459492563
199	0.4458448242
200	0.4458064485
201	0.4457612572
202	0.4456689021
203	0.445600573
204	0.4455167953
205	0.4454348587
206	0.4453654837
207	0.4453311318
208	0.4452787166
209	0.4451934574
210	0.4451331974
211	0.44503093
212	0.4449214863
213	0.4448729452
214	0.4447648966
215	0.4447127384
216	0.4446836125
217	0.4445659511
218	0.4445002663
219	0.4444560152
220	0.4443561837
221	0.4442894466
222	0.4442481256
223	0.4441921841
224	0.4441538666
225	0.4440872825
226	0.444020885
227	0.4439849711
228	0.4439406622
229	0.4438284335
230	0.4437709424
231	0.4437370825
232	0.4436871778
233	0.443655944
234	0.4435439979
235	0.443461984
236	0.4433990313
237	0.4433242529
238	0.443249394
239	0.443152459
240	0.4430744904
241	0.4429944547
242	0.44296459
243	0.4429085515
244	0.4428482236
245	0.442811997
246	0.4427410746
247	0.4427112084
248	0.4426655577
249	0.4425692988
250	0.4425029678
251	0.4424865235
252	0.442471047
253	0.4424335414
254	0.442383116
255	0.4423450665
256	0.4423192836
257	0.4422832681
258	0.442256288
259	0.4421729111
260	0.4421065973
261	0.4420406574
262	0.4419776111
263	0.4419390893
264	0.441918018
265	0.4418823379
266	0.4418384979
267	0.4417974189
268	0.4417748643
269	0.4417310144
270	0.4416927199
271	0.4416712325
272	0.4416318011
273	0.4415656871
274	0.4415463288
275	0.4415099812
276	0.4414440107
277	0.4413559693
278	0.4413218594
279	0.4412640731
280	0.4412448916
281	0.4412273099
282	0.4411685696
283	0.4410961581
284	0.4410511619
285	0.4410201954
286	0.4409942317
287	0.4409547181
288	0.4409265769
289	0.440854956
290	0.4408409335
291	0.4407897547
292	0.4407288189
293	0.440712125
294	0.4406529256
295	0.4406263028
296	0.4405684696
297	0.4405204116
298	0.4404673521
299	0.4404402759
300	0.4404104651
301	0.4403940657
302	0.4403833251
303	0.4403575153
304	0.4403022656
305	0.4402572391
306	0.4402076513
307	0.4401441574
308	0.4401191122
309	0.4400752051
310	0.4400349867
311	0.4400198041
312	0.4400076576
313	0.4399674207
314	0.4399426229
315	0.4398909344
316	0.4398328132
317	0.4398030906
318	0.4397538861
319	0.4397273844
320	0.4396981114
321	0.4396836869
322	0.4396701189
323	0.439646162
324	0.4396171104
325	0.4395874434
326	0.4395487979
327	0.4395357641
328	0.4394986006
329	0.4394666808
330	0.4394122852
331	0.4394017505
332	0.4393530274
333	0.4393269806
334	0.4393145388
335	0.4392616751
336	0.4392144499
337	0.4392024217
338	0.4391586048
339	0.4391470145
340	0.4391114324
341	0.4390756351
342	0.4390540694
343	0.4390434234
344	0.4389984907
345	0.4389655013
346	0.4389343935
347	0.4389136865
348	0.4388880558
349	0.4388782309
350	0.4388485652
351	0.4388011342
352	0.4387817069
353	0.4387346212
354	0.438725
355	0.4387050825
356	0.4386819468
357	0.4386600676
358	0.4386125519
359	0.4385697934
360	0.4385514576
361	0.4385321056
362	0.4385145053
363	0.4384835509
364	0.4384559054
365	0.4384471315
366	0.4384228571
367	0.4383850086
368	0.4383762353
369	0.4383694109
370	0.4383365616
371	0.438328057
372	0.438287618
373	0.4382304932
374	0.4382111765
375	0.4382029944
376	0.4381952293
377	0.4381587736
378	0.4381512085
379	0.4381134693
380	0.4380844626
381	0.4380771853
382	0.4380552237
383	0.4380483711
384	0.4380418253
385	0.4380200591
386	0.4379979726
387	0.4379625594
388	0.4379503217
389	0.4379435289
390	0.4379072364
391	0.4378817647
392	0.4378427672
393	0.4378240319
394	0.4378055948
395	0.4377986853
396	0.4377763342
397	0.4377574132
398	0.4377360817
399	0.4377288313
400	0.4377223838
401	0.4376786765
402	0.4376725428
403	0.4376524102
404	0.4376166153
405	0.4375830436
406	0.437570756
407	0.437564566
408	0.4375209067
409	0.4375145579
410	0.4375087537
411	0.4374872273
412	0.4374584194
413	0.4374528746
414	0.4374336478
415	0.437428271
416	0.4374141742
417	0.4373886756
418	0.4373413128
419	0.4373361033
420	0.4373221087
421	0.4372970437
422	0.4372779493
423	0.4372405813
424	0.4372352495
425	0.4372080153
426	0.4371949283
427	0.4371754624
428	0.4371332316
429	0.437110667
430	0.437102421
431	0.4370752018
432	0.4370503411
433	0.4370269742
434	0.4370049779
435	0.4369760378
436	0.4369631234
437	0.4369420495
438	0.4369355917
439	0.4369302663
440	0.4368932831
441	0.4368784209
442	0.4368390354
443	0.4368272742
444	0.4368080371
445	0.4367822218
446	0.4367561024
447	0.4367502019
448	0.4367232669
449	0.4367119193
450	0.4367067574
451	0.4366756201
452	0.4366541295
453	0.4366395778
454	0.4366234944
455	0.4366037094
456	0.4365985853
457	0.4365866648
458	0.4365691071
459	0.4365569597
460	0.4365434498
461	0.4365242439
462	0.4365098564
463	0.4365046911
464	0.4364998105
465	0.4364751326
466	0.4364553727
467	0.4364357521
468	0.4364220947
469	0.4364173877
470	0.4364042338
471	0.4363997839
472	0.4363644862
473	0.4363602106
474	0.4363395352
475	0.4363210584
476	0.4363049469
477	0.4362846596
478	0.4362802341
479	0.4362656868
480	0.4362615636
481	0.4362354013
482	0.4362313817
483	0.436219143
484	0.4362064012
485	0.4361795274
486	0.4361733033
487	0.4361694168
488	0.4361657135
489	0.4361621758
490	0.436150189
491	0.4361468937
492	0.4361349934
493	0.4361183562
494	0.4361065107
495	0.4360895297
496	0.4360862864
497	0.4360771263
498	0.4360680931
499	0.4360540445
500	0.436044108
501	0.4360207627
502	0.4360068242
503	0.4359881365
504	0.4359713723
505	0.4359590237
506	0.4359474311
507	0.4359287111
508	0.4359178385
509	0.4359093831
510	0.4359002339
511	0.4358968756
512	0.4358910683
513	0.4358801581
514	0.4358615319
515	0.4358519422
516	0.4358487239
517	0.4358456524
518	0.4358388196
519	0.4358132245
520	0.4358042752
521	0.4357961274
522	0.4357883747
523	0.4357830598
524	0.4357801814
525	0.4357649108
526	0.4357289358
527	0.4357136234
528	0.4356842722
529	0.435664116
530	0.4356555067
531	0.4356452193
532	0.4356387549
533	0.4356359284
534	0.4356048676
535	0.4355923089
536	0.4355819335
537	0.4355744665
538	0.4355707052
539	0.4355437464
540	0.4355366939
541	0.435508423
542	0.4354999737
543	0.4354844694
544	0.4354666113
545	0.4354502593
546	0.435439795
547	0.4354367734
548	0.4354339023
549	0.4354311665
550	0.4354285528
551	0.4353958129
552	0.4353865568
553	0.4353763339
554	0.4353631628
555	0.4353530288
556	0.4353453782
557	0.4353427003
558	0.4353401461
559	0.4353163333
560	0.4353051188
561	0.4353005308
562	0.4352832866
563	0.4352735271
564	0.4352642658
565	0.435261748
566	0.4352514074
567	0.4352391193
568	0.4352203447
569	0.435205417
570	0.4351924483
571	0.4351791874
572	0.435154955
573	0.4351463517
574	0.435143805
575	0.4351313288
576	0.4351114035
577	0.4350823812
578	0.4350798708
579	0.4350774813
580	0.4350752005
581	0.435073018
582	0.435059057
583	0.4350504168
584	0.4350482749
585	0.435034248
586	0.4350234452
587	0.4350213808
588	0.4350087669
589	0.4350013803
590	0.4349928694
591	0.4349806357
592	0.4349722299
593	0.4349663622
594	0.4349642536
595	0.4349594615
596	0.434951039
597	0.4349380687
598	0.434936073
599	0.43492658
600	0.4349073674
601	0.4348947991
602	0.4348903166
603	0.4348836067
604	0.4348815741
605	0.4348725899
606	0.4348612562
607	0.4348522871
608	0.4348450961
609	0.434836554
610	0.4348344852
611	0.4348307542
612	0.4348246032
613	0.4348136177
614	0.4347993824
615	0.4347953784
616	0.434790555
617	0.4347884864
618	0.434774029
619	0.434768486
620	0.4347625659
621	0.4347605885
622	0.4347423879
623	0.4347218388
624	0.4347199074
625	0.4347101101
626	0.4347082002
627	0.4346880421
628	0.4346773526
629	0.4346516046
630	0.4346270398
631	0.4346251045
632	0.4346131045
633	0.4346112667
634	0.4345989161
635	0.4345834833
636	0.4345717171
637	0.4345699146
638	0.4345519694
639	0.434545925
640	0.4345344369
641	0.4345326494
642	0.4345277481
643	0.4345108555
644	0.4345091676
645	0.4344976945
646	0.4344805562
647	0.4344788703
648	0.4344772571
649	0.4344594956
650	0.4344579587
651	0.4344356312
652	0.4344320519
653	0.4344234905
654	0.4344178541
655	0.4344070065
656	0.4343963537
657	0.4343947052
658	0.4343880749
659	0.4343800292
660	0.4343703186
661	0.4343555152
662	0.434346698
663	0.434341397
664	0.4343365738
665	0.4343289264
666	0.43430847
667	0.434289849
668	0.4342755921
669	0.4342737374
670	0.4342686372
671	0.4342600882
672	0.43424992
673	0.434248059
674	0.4342267174
675	0.434220883
676	0.4342112965
677	0.4342061015
678	0.4342010531
679	0.4341964562
680	0.4341797487
681	0.4341727975
682	0.4341668088
683	0.434159105
684	0.4341493536
685	0.4341448563
686	0.4341336539
687	0.4341294001
688	0.4341274516
689	0.4341230314
690	0.4341175666
691	0.4341157821
692	0.4341001066
693	0.4340959679
694	0.4340818395
695	0.4340800368
696	0.4340783352
697	0.434076724
698	0.4340751939
699	0.4340587816
700	0.4340498623
701	0.4340464634
702	0.4340449954
703	0.4340435941
704	0.434042253
705	0.4340325146
706	0.4340275386
707	0.4340228261
708	0.4340135327
709	0.434009066
710	0.4339984537
711	0.433971274
712	0.433954189
713	0.4339444693
714	0.4339261057
715	0.4339198615
716	0.4339134751
717	0.4339039783
718	0.4339025285
719	0.43389944
720	0.4338980805
721	0.4338776377
722	0.4338763244
723	0.4338750689
724	0.4338703226
725	0.4338648492
726	0.4338605406
727	0.4338592734
728	0.4338502236
729	0.4338466749
730	0.4338454741
731	0.433838646
732	0.4338374374
733	0.4338362785
734	0.4338351645
735	0.433834091
736	0.433825016
737	0.4338050488
738	0.4337970652
739	0.4337882068
740	0.4337822392
741	0.4337767945
742	0.433761286
743	0.4337468656
744	0.4337342719
745	0.4337297296
746	0.4337176571
747	0.4337125829
748	0.4337113706
749	0.4337031919
750	0.4336992118
751	0.4336948847
752	0.433693671
753	0.4336814424
754	0.4336802821
755	0.4336791717
756	0.433665619
757	0.4336645148
758	0.4336560399
759	0.4336503396
760	0.4336430447
761	0.4336419663
762	0.4336360906
763	0.4336254733
764	0.4336179829
765	0.4336168718
766	0.4336128761
767	0.4336086207
768	0.4335977567
769	0.43359344
770	0.4335895663
771	0.4335884278
772	0.4335796151
773	0.4335759233
774	0.4335617292
775	0.4335563378
776	0.4335551512
777	0.4335424075
778	0.4335307782
779	0.4335244067
780	0.4335146493
781	0.4335106586
782	0.4335030962
783	0.4334990207
784	0.4334944402
785	0.4334932298
786	0.4334901925
787	0.4334858969
788	0.4334821024
789	0.4334767906
790	0.4334756331
791	0.433474534
792	0.4334644054
793	0.4334566732
794	0.4334514414
795	0.4334459048
796	0.4334366348
797	0.4334281495
798	0.4334269172
799	0.4334230643
800	0.4334201544
801	0.4334190368
802	0.4334110255
803	0.4334099676
804	0.4334089591
805	0.4334079949
806	0.4334070706
807	0.4334019104
808	0.4333941829
809	0.4333891543
810	0.4333849625
811	0.4333827393
812	0.4333770092
813	0.4333733524
814	0.4333666487
815	0.4333597179
816	0.4333587508
817	0.4333570429
818	0.4333421774
819	0.4333385078
820	0.4333319607
821	0.4333208971
822	0.4333174567
823	0.4333135234
824	0.4333089379
825	0.4333080231
826	0.4332945406
827	0.4332936227
828	0.4332872956
829	0.4332840475
830	0.4332780892
831	0.4332750522
832	0.433266742
833	0.4332658225
834	0.4332643561
835	0.433263492
836	0.4332608948
837	0.4332529711
838	0.4332521427
839	0.4332468879
840	0.4332417979
841	0.4332391931
842	0.4332294008
843	0.4332174818
844	0.4332062103
845	0.4332019697
846	0.4331989582
847	0.433198074
848	0.4331933211
849	0.4331907791
850	0.4331865099
851	0.433185669
852	0.4331822065
853	0.4331793785
854	0.4331785654
855	0.4331777842
856	0.4331642259
857	0.433161306
858	0.4331579964
859	0.4331518039
860	0.433148268
861	0.4331414425
862	0.4331345037
863	0.4331319294
864	0.4331226624
865	0.4331179086
866	0.4331108438
867	0.4331100002
868	0.433095813
869	0.4330894616
870	0.4330886426
871	0.4330829582
872	0.4330790061
873	0.4330781845
874	0.4330763337
875	0.4330697911
876	0.4330636678
877	0.4330587362
878	0.4330534702
879	0.4330526439
880	0.4330502579
881	0.4330449243
882	0.4330411699
883	0.4330403635
884	0.4330395931
885	0.4330339217
886	0.4330304581
887	0.433029689
888	0.4330242472
889	0.4330214219
890	0.4330178088
891	0.4330140689
892	0.4330133103
893	0.4330120685
894	0.4330070045
895	0.433006276
896	0.432997847
897	0.4329934782
898	0.4329927675
899	0.4329906706
900	0.432983179
901	0.4329824965
902	0.4329791154
903	0.4329752817
904	0.4329682292
905	0.4329675607
906	0.4329616328
907	0.4329609814
908	0.4329603533
909	0.4329551097
910	0.432949
911	0.4329447354
912	0.4329423719
913	0.432939174
914	0.4329360996
915	0.4329333585
916	0.4329213447
917	0.4329206885
918	0.4329175996
919	0.4329021804
920	0.4328996824
921	0.4328942259
922	0.4328894421
923	0.4328837819
924	0.4328664433
925	0.4328657283
926	0.4328633016
927	0.4328602736
928	0.432853684
929	0.4328507313
930	0.4328385126
931	0.4328300252
932	0.4328257729
933	0.4328171606
934	0.4328164048
935	0.4328112544
936	0.4327995214
937	0.4327959194
938	0.4327951716
939	0.4327944616
940	0.4327919883
941	0.4327893484
942	0.4327863606
943	0.4327856909
944	0.4327813306
945	0.4327773566
946	0.432775885
947	0.4327752118
948	0.4327698809
949	0.4327643688
950	0.4327565466
951	0.432744441
952	0.4327382566
953	0.4327312278
954	0.4327305273
955	0.4327258011
956	0.4327251274
957	0.4327244854
958	0.4327214911
959	0.4327208811
960	0.4327170908
961	0.4327164972
962	0.4327125531
963	0.4327093819
964	0.4326980579
965	0.4326974439
966	0.4326930361
967	0.4326924405
968	0.4326902673
969	0.4326896998
970	0.4326867611
971	0.4326861945
972	0.4326838703
973	0.4326784097
974	0.4326763655
975	0.432672275
976	0.4326700784
977	0.4326663186
978	0.4326657064
979	0.4326634448
980	0.4326628745
981	0.4326623275
982	0.4326563568
983	0.432653692
984	0.4326459511
985	0.4326432308
986	0.4326401865
987	0.4326380712
988	0.4326354383
989	0.4326305137
990	0.4326284142
991	0.4326262345
992	0.4326256519
993	0.4326235676
994	0.4326189544
995	0.4326146072
996	0.4326125678
997	0.4326025175
998	0.4326019139
999	0.432601339
