iter	Passed	Remaining
260	466	1320
261	468	1318
262	469	1316
263	471	1314
264	473	1312
265	474	1310
266	476	1308
267	478	1306
268	479	1304
269	481	1302
270	483	1300
271	485	1298
272	487	1296
273	489	1296
274	491	1295
275	493	1294
276	495	1292
277	496	1290
278	498	1288
279	500	1286
280	502	1284
281	503	1282
282	505	1281
283	507	1279
284	509	1277
285	510	1275
286	512	1273
287	514	1271
288	516	1270
289	518	1269
290	520	1267
291	522	1266
292	524	1264
293	526	1263
294	527	1261
295	529	1260
296	531	1259
297	533	1257
298	535	1256
299	537	1254
300	539	1253
301	541	1251
302	543	1250
303	545	1248
304	547	1247
305	549	1245
306	551	1244
307	553	1243
308	555	1241
309	557	1239
310	559	1238
311	561	1237
312	562	1235
313	564	1233
314	566	1232
315	568	1230
316	570	1228
317	572	1227
318	574	1226
319	576	1224
320	578	1223
321	580	1221
322	582	1220
323	584	1218
324	586	1217
325	587	1215
326	590	1214
327	592	1213
328	594	1211
329	596	1210
330	598	1208
331	599	1207
332	601	1205
333	603	1203
334	605	1202
335	607	1200
336	609	1199
337	611	1197
338	613	1196
339	615	1194
340	617	1192
341	619	1191
342	620	1189
343	622	1187
344	624	1186
345	626	1184
346	628	1183
347	630	1181
348	632	1179
349	634	1177
350	635	1175
351	637	1173
352	639	1171
353	641	1169
354	642	1168
355	644	1166
356	646	1164
357	648	1162
358	650	1160
359	651	1159
360	653	1157
361	655	1155
362	657	1153
363	659	1151
364	660	1149
365	662	1147
366	664	1146
367	666	1144
368	668	1142
369	670	1141
370	672	1139
371	673	1137
372	675	1136
373	677	1134
374	679	1132
375	681	1131
376	683	1129
377	685	1127
378	687	1125
379	689	1124
380	690	1122
381	692	1120
382	694	1118
383	696	1116
384	697	1114
385	699	1112
386	701	1111
387	703	1109
388	705	1107
389	707	1106
390	709	1104
391	711	1103
392	713	1101
393	714	1099
394	716	1097
395	718	1096
396	720	1094
397	722	1092
398	724	1091
399	726	1089
400	728	1087
401	729	1085
402	731	1083
403	733	1082
404	735	1080
405	737	1079
406	739	1077
407	741	1075
408	743	1073
409	744	1071
410	746	1070
411	748	1068
412	750	1066
413	752	1065
414	754	1063
415	756	1061
416	758	1060
417	759	1058
418	761	1056
419	763	1054
420	765	1052
421	767	1050
422	769	1049
423	771	1047
424	773	1046
425	775	1045
426	777	1043
427	779	1042
428	781	1040
429	783	1038
430	785	1037
431	787	1035
432	789	1033
433	791	1032
434	793	1030
435	795	1028
436	797	1026
437	799	1025
438	801	1023
439	802	1021
440	804	1020
441	806	1018
442	808	1016
443	810	1015
444	812	1013
445	814	1011
446	816	1009
447	818	1008
448	820	1006
449	821	1004
450	823	1002
451	825	1001
452	827	999
453	829	997
454	830	995
455	832	993
456	834	991
457	836	989
458	838	988
459	840	986
460	842	984
461	844	983
462	846	981
463	848	980
464	850	978
465	852	977
466	854	975
467	857	974
468	859	972
469	861	971
470	863	969
471	865	967
472	867	966
473	869	964
474	871	962
475	873	961
476	875	959
477	876	957
478	878	955
479	880	954
480	882	952
481	884	950
482	886	948
483	888	947
484	890	945
485	892	943
486	894	941
487	895	939
488	897	938
489	899	936
490	901	934
491	903	933
492	905	931
493	907	929
494	909	928
495	911	926
496	913	924
497	915	922
498	917	920
499	918	918
500	920	917
501	922	915
502	924	913
503	926	911
504	928	910
505	930	908
506	932	906
507	934	904
508	935	902
509	937	900
510	939	899
511	941	897
512	943	895
513	944	893
514	946	891
515	948	889
516	950	888
517	952	886
518	954	884
519	956	882
520	958	881
521	960	879
522	962	877
523	963	875
524	965	873
525	967	871
526	968	869
527	970	867
528	972	865
529	974	864
530	976	862
531	978	860
532	980	859
533	982	857
534	983	855
535	985	853
536	987	851
537	989	849
538	991	847
539	992	845
540	994	844
541	996	842
542	998	840
543	1000	838
544	1002	836
545	1004	834
546	1005	833
547	1007	831
548	1009	829
549	1011	827
550	1013	825
551	1014	823
552	1016	821
553	1018	819
554	1020	818
555	1022	816
556	1024	814
557	1026	812
558	1028	811
559	1030	809
560	1031	807
561	1033	805
562	1035	804
563	1037	802
564	1039	800
565	1041	798
566	1043	797
567	1045	795
568	1047	793
569	1049	791
570	1051	789
571	1053	787
572	1054	786
573	1056	784
574	1058	782
575	1060	780
576	1062	778
577	1064	777
578	1066	775
579	1068	773
580	1070	771
581	1071	769
582	1073	767
583	1075	765
584	1077	764
585	1078	762
586	1080	760
587	1082	758
588	1084	756
589	1086	754
590	1088	753
591	1090	751
592	1091	749
593	1093	747
594	1095	745
595	1097	743
596	1098	741
597	1100	739
598	1102	738
599	1104	736
600	1106	734
601	1108	732
602	1109	730
603	1111	728
604	1113	726
605	1115	725
606	1116	723
607	1118	721
608	1120	719
609	1122	717
610	1124	715
611	1126	713
612	1127	712
613	1129	710
614	1131	708
615	1133	706
616	1135	704
617	1137	703
618	1139	701
619	1141	699
620	1143	697
621	1144	695
622	1146	693
623	1148	692
624	1150	690
625	1151	688
626	1153	686
627	1155	684
628	1157	682
629	1159	680
630	1161	678
631	1162	677
632	1164	675
633	1166	673
634	1168	671
635	1170	669
636	1171	667
637	1173	666
638	1176	664
639	1178	662
640	1180	660
641	1181	659
642	1183	657
643	1185	655
644	1187	653
645	1189	651
646	1191	650
647	1193	648
648	1195	646
649	1197	644
650	1199	642
651	1201	641
652	1203	639
653	1204	637
654	1206	635
655	1208	633
656	1210	631
657	1212	630
658	1214	628
659	1216	626
660	1218	624
661	1220	622
662	1222	621
663	1224	619
664	1225	617
665	1227	615
666	1229	613
667	1230	611
668	1232	609
669	1234	607
670	1236	606
671	1238	604
672	1240	602
673	1241	600
674	1243	598
675	1245	597
676	1247	595
677	1249	593
678	1251	591
679	1252	589
680	1254	587
681	1256	585
682	1258	583
683	1259	582
684	1261	580
685	1263	578
686	1265	576
687	1266	574
688	1268	572
689	1270	570
690	1272	569
691	1274	567
692	1276	565
693	1277	563
694	1279	561
695	1281	559
696	1283	557
697	1284	555
698	1287	554
699	1288	552
700	1290	550
701	1292	548
702	1294	546
703	1296	545
704	1298	543
705	1300	541
706	1302	539
707	1304	537
708	1306	536
709	1307	534
710	1309	532
711	1311	530
712	1313	528
713	1315	527
714	1317	525
715	1319	523
716	1321	521
717	1323	519
718	1325	518
719	1327	516
720	1329	514
721	1331	512
722	1332	510
723	1334	508
724	1336	506
725	1338	505
726	1339	503
727	1341	501
728	1343	499
729	1345	497
730	1346	495
731	1348	493
732	1350	492
733	1352	490
734	1354	488
735	1355	486
736	1357	484
737	1359	482
738	1361	480
739	1362	478
740	1364	477
741	1366	475
742	1368	473
743	1370	471
744	1372	469
745	1375	468
746	1377	466
747	1379	464
748	1380	462
749	1382	460
750	1384	459
751	1386	457
752	1388	455
753	1390	453
754	1392	451
755	1394	450
756	1396	448
757	1397	446
758	1399	444
759	1401	442
760	1403	440
761	1404	438
762	1406	437
763	1408	435
764	1410	433
765	1412	431
766	1414	429
767	1416	428
768	1418	426
769	1420	424
770	1422	422
771	1424	420
772	1426	418
773	1427	416
774	1429	415
775	1431	413
776	1433	411
777	1435	409
778	1437	407
779	1439	405
780	1441	404
781	1442	402
782	1444	400
783	1446	398
784	1448	396
785	1449	394
786	1451	392
787	1453	391
788	1455	389
789	1457	387
790	1459	385
791	1460	383
792	1462	381
793	1464	379
794	1466	378
795	1468	376
796	1469	374
797	1472	372
798	1473	370
799	1475	368
800	1477	367
801	1479	365
802	1481	363
803	1483	361
804	1485	359
805	1487	357
806	1488	356
807	1490	354
808	1492	352
809	1494	350
810	1496	348
811	1497	346
812	1499	344
813	1501	343
814	1503	341
815	1504	339
816	1506	337
817	1508	335
818	1510	333
819	1512	331
820	1514	330
821	1515	328
822	1517	326
823	1519	324
824	1521	322
825	1523	320
826	1525	319
827	1527	317
828	1529	315
829	1531	313
830	1533	311
831	1534	309
832	1536	308
833	1538	306
834	1539	304
835	1541	302
836	1543	300
837	1545	298
838	1547	296
839	1549	295
840	1551	293
841	1553	291
842	1554	289
843	1556	287
844	1558	285
845	1560	284
846	1562	282
847	1563	280
848	1565	278
849	1567	276
850	1569	274
851	1570	272
852	1572	271
853	1575	269
854	1577	267
855	1579	265
856	1581	263
857	1582	261
858	1584	260
859	1586	258
860	1588	256
861	1590	254
862	1592	252
863	1594	250
864	1595	249
865	1597	247
866	1599	245
867	1601	243
868	1603	241
869	1605	239
870	1607	238
871	1609	236
872	1611	234
873	1613	232
874	1615	230
875	1617	228
876	1619	227
877	1620	225
878	1622	223
879	1624	221
880	1626	219
881	1628	217
882	1629	215
883	1631	214
884	1633	212
885	1635	210
886	1636	208
887	1638	206
888	1640	204
889	1642	202
890	1644	201
891	1645	199
892	1647	197
893	1649	195
894	1651	193
895	1653	191
896	1655	190
897	1657	188
898	1659	186
899	1661	184
900	1663	182
901	1665	180
902	1667	179
903	1668	177
904	1670	175
905	1672	173
906	1674	171
907	1676	169
908	1678	167
909	1679	166
910	1681	164
911	1683	162
912	1685	160
913	1686	158
914	1688	156
915	1690	155
916	1692	153
917	1693	151
918	1695	149
919	1697	147
920	1699	145
921	1701	143
922	1703	142
923	1705	140
924	1707	138
925	1708	136
926	1710	134
927	1712	132
928	1714	131
929	1716	129
930	1718	127
931	1720	125
932	1722	123
933	1724	121
934	1725	119
935	1727	118
936	1729	116
937	1731	114
938	1733	112
939	1735	110
940	1737	108
941	1739	107
942	1741	105
943	1743	103
944	1745	101
945	1747	99
946	1749	97
947	1751	96
948	1752	94
949	1754	92
950	1756	90
951	1757	88
952	1759	86
953	1761	84
954	1763	83
955	1765	81
956	1767	79
957	1769	77
958	1771	75
959	1773	73
960	1775	72
961	1777	70
962	1779	68
963	1781	66
964	1783	64
965	1784	62
966	1786	60
967	1788	59
968	1790	57
969	1791	55
970	1793	53
971	1795	51
972	1797	49
973	1799	48
974	1800	46
975	1802	44
976	1804	42
977	1806	40
978	1808	38
979	1810	36
980	1811	35
981	1813	33
982	1815	31
983	1817	29
984	1819	27
985	1820	25
986	1822	24
987	1824	22
988	1826	20
989	1827	18
990	1829	16
991	1831	14
992	1833	12
993	1834	11
994	1836	9
995	1838	7
996	1840	5
997	1841	3
998	1843	1
999	1845	0
